(`TIME`, `PM10`, `PM25`, `NO2`, `O3`, `SO2`, `MAX_VALUE`, `LOKASI`, `LEVEL`),
('2024-05-10', 56, 122, 29, 22, 2, 122, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-10', 55, 3, 22, 2, 19, 55, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-05-09', 58, 157, 7, 55, 15, 157, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-10', 56, 154, 2, 0, 29, 154, 'Bekasi Kayuringin', 'Unhealthy'),
('2024-05-11', 45, 102, 28, 23, 2, 102, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-11', 49, 3, 22, 2, 19, 49, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-05-09', 58, 157, 7, 55, 15, 157, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-11', 51, 147, 2, 0, 29, 147, 'Bekasi Kayuringin', 'Unhealthy for Sensitive Groups'),
('2024-05-13', 37, 88, 7, 22, 2, 88, 'Jakarta GBK', 'Moderate'),
('2024-05-13', 35, 5, 22, 2, 19, 35, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-05-09', 58, 157, 7, 55, 15, 157, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-13', 48, 135, 2, 0, 30, 135, 'Bekasi Kayuringin', 'Unhealthy for Sensitive Groups'),
('2024-05-13', 37, 88, 7, 22, 2, 88, 'Jakarta GBK', 'Moderate'),
('2024-05-13', 35, 5, 22, 2, 19, 35, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-05-09', 58, 157, 7, 55, 15, 157, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-13', 38, 79, 1, 6, 12, 79, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-05-13', 48, 135, 2, 0, 30, 135, 'Bekasi Kayuringin', 'Unhealthy for Sensitive Groups'),
('2024-05-17', 53, 117, 7, 25, 3, 117, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-17', 46, 197, 23, 1, 19, 197, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-05-17', 51, 147, 5, 16, 59, 147, 'Depok Pancoran Mas', 'Unhealthy for Sensitive Groups'),
('2024-05-17', 40, 78, 1, 6, 11, 78, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-05-17', 54, 153, 2, 0, 31, 153, 'Bekasi Kayuringin', 'Unhealthy'),
('2024-05-17', 52, 115, 7, 25, 3, 115, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-17', 45, 197, 23, 1, 19, 197, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-05-17', 51, 147, 5, 16, 59, 147, 'Depok Pancoran Mas', 'Unhealthy for Sensitive Groups'),
('2024-05-17', 39, 77, 1, 6, 11, 77, 'Kabupaten Tangerang Curug', 'Moderate'),
('2024-05-17', 54, 153, 2, 0, 31, 153, 'Bekasi Kayuringin', 'Unhealthy'),
('2024-05-17', 52, 114, 7, 25, 3, 114, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-17', 43, 197, 23, 1, 19, 197, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
